Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.58,-7.553 → 33.586,-7.58",33.579634087838976,-7.552954125796059,33.585581533006746,-7.579664410522142,174
"33.58,-7.553 → 33.588,-7.565",33.579634087838976,-7.552954125796059,33.58760968997529,-7.565003146178025,175
"33.588,-7.565 → 33.577,-7.567",33.58760968997529,-7.565003146178025,33.577165225338696,-7.566759982285982,176
"33.588,-7.565 → 33.574,-7.558",33.58760968997529,-7.565003146178025,33.57371103880315,-7.557628015411628,177
"33.588,-7.565 → 33.586,-7.58",33.58760968997529,-7.565003146178025,33.585581533006746,-7.579664410522142,178
"33.588,-7.565 → 33.58,-7.553",33.58760968997529,-7.565003146178025,33.579634087838976,-7.552954125796059,179
"33.523,-7.627 → 33.54,-7.632",33.5234096623697,-7.627368587781716,33.54026411129312,-7.6319518606039,180
"33.523,-7.627 → 33.547,-7.603",33.5234096623697,-7.627368587781716,33.546530260563024,-7.603443488370979,181
"33.523,-7.627 → 33.531,-7.62",33.5234096623697,-7.627368587781716,33.53076443517872,-7.620207488965399,182
"33.523,-7.627 → 33.533,-7.607",33.5234096623697,-7.627368587781716,33.5331373999159,-7.60743119944375,183
"33.54,-7.632 → 33.523,-7.627",33.54026411129312,-7.6319518606039,33.5234096623697,-7.627368587781716,184
"33.54,-7.632 → 33.547,-7.603",33.54026411129312,-7.6319518606039,33.546530260563024,-7.603443488370979,185
"33.54,-7.632 → 33.531,-7.62",33.54026411129312,-7.6319518606039,33.53076443517872,-7.620207488965399,186
"33.54,-7.632 → 33.533,-7.607",33.54026411129312,-7.6319518606039,33.5331373999159,-7.60743119944375,187
"33.547,-7.603 → 33.523,-7.627",33.546530260563024,-7.603443488370979,33.5234096623697,-7.627368587781716,188
"33.547,-7.603 → 33.54,-7.632",33.546530260563024,-7.603443488370979,33.54026411129312,-7.6319518606039,189
"33.547,-7.603 → 33.531,-7.62",33.546530260563024,-7.603443488370979,33.53076443517872,-7.620207488965399,190
"33.547,-7.603 → 33.533,-7.607",33.546530260563024,-7.603443488370979,33.5331373999159,-7.60743119944375,191
"33.531,-7.62 → 33.523,-7.627",33.53076443517872,-7.620207488965399,33.5234096623697,-7.627368587781716,192
"33.531,-7.62 → 33.54,-7.632",33.53076443517872,-7.620207488965399,33.54026411129312,-7.6319518606039,193
